,,,,"Nearest CO2 source > 25,000 tonne/year",,Nearest CO2 source,,Nearest CO2 source**,,Presence - Yes or No,,,,,,,,Number per grid,,,,,,,,,,,Numerical Attribute Scores (Additive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General scores via Scenarios,,,,Quartiles for Scenarios,,,
Grid Labeling,,Centroid,,,,Source to Sink,,45Q updated,,,,,,,,,,Leakage,,,Infrastructure,,,,Development,,,Relevant Plays per Grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid FID,Grid ID,"Longitude
(degrees)","Latitude
(degrees)",CO2 Source ID (tied to NATCARB dataset)*,Distance (km),CO2 Source ID (tied to NATCARB dataset),Distance (km),CO2 Source ID (tied to NATCARB dataset),Distance (km),Caisson Platform,Fixed Platform,Well Protector Platform,Pipeline,Fault,Salt dome,Shipping Route (w/5 MI Buffer),Shipping Route (w/10 mi Buffer),Fault,Active Wells,P&A Wells,Caisson Platform,Major Platform,Well Protector Platform,Pipeline,Salt dome,EOR Wells,Shipping Route (w/10 mi Buffer),Number of plays,(SUM) Injectivity W Depth - (kh),"(SUM) Quality W/O Depth - ([h x E]/[1,000 feet to reservoir bottom])",Capacity per Grid - (million tonnes),Water Depth - (feet),Average Calculated Water Depth - (feet),"(SUM) Hydrocarbon Potential W/O Depth - ([h x So]/[1,000 feet to reservoir bottom])",Recoverable Oil (barrels)/acre foot,(Sum) Projected Remaining OIP - (barrels),New Injectivity (mD/MPa °K),Subsea Depth - (feet),Average Calculated Subsea Depth of Reservoirs - (feet),Sum of injectivity proxy - (kh),"Sum of hydrocarbon potential - ([h x So]/[1,000 feet to reservoir bottom])",Sum of recoverable oil per acre-foot,Projected remaining oil in place (barrels),Pipeline ROW proxy,Density of active caisson platform infrastructure,Density of active well protector platform infrastructure,Density of major active multi-purpose platform infrastructure- major,Distance to closest on-shore CO2 source > 25000 tonnes,Within major shipping route buffer area,Subsea depth - Saline Reservoirs,Water depth - Saline Reservoirs,Subsea depth - Oil Reservoirs,Water depth - Oil Reservoirs,Above salt domes,Active Well Density,P&A Well Density,Faults,Sum of Reservoir Quality W/O Depth (feet),New Injectivity,S1,S2,S3,S4,S1,S2,S3,S4
16,36719,-96.67811615,26.14330999,1671,87.24850966,860,70.72002164,286,150.6825013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,24.77,2236.34,2102,708.18,177.045,0,0,0,13795828.89,17431,4357.75,5.9245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.6330,0.0000,84.9697,55.2884,84.9697,55.2884,0.0000,100.0000,100.0000,100.0000,6.7922,10.4760,32.24005753,,19.13547783,,0-25%,,0-25%,
17,36722,-96.6066319,26.0003415,1671,91.75454695,860,75.46055296,286,161.2830831,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,3,18.94,1474.74,1263,583.48,194.4933333,0,0,0,11233399.48,12343,4114.333333,4.4579,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,64.9509,100.0000,87.9791,49.9143,87.9791,49.9143,0.0000,100.0000,100.0000,0.0000,4.2383,8.3313,28.35481762,,15.00344625,,0-25%,,0-25%,
18,36723,-96.53514766,26.0003415,1671,98.87421948,860,82.6156141,5,166.9568586,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,18.94,1474.74,1263,583.48,194.4933333,0,0,0,11233399.48,12343,4114.333333,4.4579,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,67.2620,100.0000,87.9791,49.9143,87.9791,49.9143,0.0000,100.0000,100.0000,100.0000,4.2383,8.3313,33.5859267,,19.23455534,,0-25%,,0-25%,
19,36726,-96.46366341,26.0003415,1671,105.9977632,860,89.7714134,5,159.9537848,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,14.39,808.88,686,393.08,196.54,0,0,0,7856433.98,6539,3269.5,3.3132,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,64.4094,100.0000,98.4237,49.2839,98.4237,49.2839,0.0000,100.0000,100.0000,100.0000,2.0055,5.5049,32.35267194,,18.34219257,,0-25%,,0-25%,
20,36727,-96.39217916,26.0003415,1671,113.1244461,860,96.92778546,5,152.9640796,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1.22,210.8,351,196.33,196.33,0,0,0,1726869.1,3142,3142,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.5623,100.0000,100.0000,49.3486,100.0000,49.3486,0.0000,100.0000,100.0000,100.0000,0.0000,0.3746,31.01699734,,17.2011873,,0-25%,,0-25%,
21,36728,-96.6066319,26.07182575,1671,92.69307967,860,76.14938169,286,159.3107142,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1,3,18.94,1474.74,1263,583.48,194.4933333,0,0,0,11233399.48,12343,4114.333333,4.4579,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,64.1475,100.0000,87.9791,49.9143,87.9791,49.9143,0.0000,100.0000,100.0000,0.0000,4.2383,8.3313,28.2744774,,14.92310603,,0-25%,,0-25%,
22,36729,-96.53514766,26.07182575,1671,99.74578393,860,83.24115043,5,165.5383881,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,3,18.94,1474.74,1263,583.48,194.4933333,0,0,0,11233399.48,12343,4114.333333,4.4579,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.6842,100.0000,87.9791,49.9143,87.9791,49.9143,0.0000,100.0000,100.0000,0.0000,4.2383,8.3313,28.52814835,,15.17677698,,0-25%,,0-25%,
23,36730,-96.6066319,26.14330999,1671,94.1664328,860,77.64405098,286,157.7117196,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,3,18.94,1474.74,1263,583.48,194.4933333,0,0,0,11233399.48,12343,4114.333333,4.4579,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,63.4962,0.0000,87.9791,49.9143,87.9791,49.9143,0.0000,100.0000,100.0000,0.0000,4.2383,8.3313,25.20934578,,14.85797441,,0-25%,,0-25%,
24,36731,-96.53514766,26.14330999,1671,101.1164253,860,84.60658618,5,164.4893132,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,1,3,18.94,1474.74,1263,583.48,194.4933333,0,0,0,11233399.48,12343,4114.333333,4.4579,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.2569,0.0000,87.9791,49.9143,87.9791,49.9143,0.0000,100.0000,99.1597,0.0000,4.2383,8.3313,25.46860981,,15.07522163,,0-25%,,0-25%,
25,36732,-96.46366341,26.07182575,1671,106.8112164,860,90.34329116,5,158.4770342,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,14.39,808.88,686,393.08,196.54,0,0,0,7856433.98,6539,3269.5,3.3132,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,63.8079,100.0000,98.4237,49.2839,98.4237,49.2839,0.0000,100.0000,100.0000,100.0000,2.0055,5.5049,32.29251968,,18.2820403,,0-25%,,0-25%,
